id_trabajo,tipo_instalacion,id_cliente,id_operario,estado,precio,fecha,notas
1051,Cargador Coche,10,102,En proceso,1250,2026-06-20,Tirando manguera de cable desde centralización de contadores.
1052,Electricidad General,14,104,En proceso,800,2026-06-21,Cableando la planta baja para reforma de cocina.
1053,Placas Solares,13,101,En proceso,6900,2026-06-22,Esperando recepción de inversor de repuesto para arrancar.
1054,Cargador Coche,22,106,Pendiente,1300,2026-06-23,Pendiente de acudir. Coche entrega prevista viernes.
1055,Domótica,1,103,Pendiente,4500,2026-06-24,Instalación completa sistema de audio multiroom Sonos.
1056,Placas Solares,17,105,Pendiente,11500,2026-06-25,Falta que el cliente retire andamio de la fachada.
1057,Cargador Coche,12,102,Pendiente,1100,2026-06-26,Instalación programada para turno de mañana.
1058,Avería,2,104,Pendiente,0,2026-06-26,Cliente avisa que el ICP salta esporádicamente por las noches.
1059,Electricidad General,16,104,Pendiente,400,2026-06-27,Montaje de focos empotrados en falso techo de salón.
1060,Placas Solares,20,101,Pendiente,7600,2026-06-29,Planificado montaje. Permiso de obra del ayuntamiento concedido.
1061,Cargador Coche,7,106,Pendiente,1400,2026-06-30,Instalación de cargador inteligente con app de control.
1062,Domótica,18,103,Pendiente,9500,2026-07-02,Integración completa de inmótica en oficinas comerciales.
1063,Placas Solares,23,105,Pendiente,8800,2026-07-04,Instalación residencial estándar. Pendiente de firma de contrato.
1064,Cargador Coche,19,102,Pendiente,1200,2026-07-05,Punto de recarga en plaza doble de parking subterráneo.
1065,Avería,24,104,Pendiente,0,2026-07-06,Revisar derivación en el circuito de fuerza del garaje.
1066,Electricidad General,9,104,Pendiente,1200,2026-07-08,Sustitución de líneas generales de alimentación (LGA).
1067,Placas Solares,16,101,Pendiente,9400,2026-07-10,Instalación de 12 paneles monocristalinos y vatímetro.
1068,Cargador Coche,3,106,Pendiente,2100,2026-07-12,Cargador rápido de corriente continua en zona de carga.
1069,Domótica,11,103,Pendiente,3700,2026-07-15,Automatización de persianas metálicas y cierres de seguridad.
1070,Placas Solares,5,105,Pendiente,5400,2026-07-18,Instalación reducida de 4 paneles para amortización ultra rápida.
